SQLDATE,EventCode,AvgTone,GoldsteinScale,NumMentions,NumSources,NumArticles,SOURCEURL
20170920,040,-1.8348623853211,1.0,10,1,10,http://news.liputan6.com/read/3101200/yasonna-silakan-pansus-angket-kpk-temui-jokowi
20170919,042,-3.64238410596026,1.9,1,1,1,http://www.thejakartapost.com/news/2017/09/19/house-meeting-with-jokowi-would-trigger-public-suspicion-deputy-speaker.html
20170919,010,-4.83091787439614,0.0,10,1,10,http://www.tribunnews.com/nasional/2017/09/19/kapolda-jabar-ungkap-kronologi-tertangkapnya-terduga-teroris-di-lokasi-kunjungan-jokowi
20170919,100,-2.36842105263158,-5.0,10,1,10,http://batam.tribunnews.com/2017/09/19/netizen-ramai-bicara-g-30-spki-jokowi-usul-bikin-film-versi-milenial
20170323,043,3.23741007194245,2.8,6,1,6,http://harianrakyatbengkulu.com/ver3/2018/03/23/jokowi-launching-kek-bengkulu/
20170323,043,3.23741007194245,2.8,4,1,4,http://harianrakyatbengkulu.com/ver3/2018/03/23/jokowi-launching-kek-bengkulu/
20171010,017,2.10970464135021,0.0,4,1,4,https://www.straitstimes.com/politics/pm-lee-in-bali-for-retreat-with-jokowi-asean-leaders-meet
20171010,173,2.10970464135021,-5.0,4,1,4,https://www.straitstimes.com/politics/pm-lee-in-bali-for-retreat-with-jokowi-asean-leaders-meet
20171010,017,2.10970464135021,0.0,6,1,6,https://www.straitstimes.com/politics/pm-lee-in-bali-for-retreat-with-jokowi-asean-leaders-meet
20171010,173,2.10970464135021,-5.0,6,1,6,https://www.straitstimes.com/politics/pm-lee-in-bali-for-retreat-with-jokowi-asean-leaders-meet
20171023,040,-2.47619047619047,1.0,4,1,4,http://harianandalas.com/component/k2/jokowi-sampaikan-keprihatinan-atas-kasus-khashoggi
20171023,040,-2.47619047619047,1.0,4,1,4,http://harianandalas.com/component/k2/jokowi-sampaikan-keprihatinan-atas-kasus-khashoggi
20171201,130,-0.93457943925233,-4.4,2,1,2,https://lifestyle.okezone.com/read/2017/12/01/406/1823799/presiden-jokowi-batal-buka-sail-sabang-2017
20171201,014,2.03488372093023,0.0,4,1,4,http://nasional.kompas.com/read/2017/12/01/17331061/idrus-jokowi-juga-bertanggung-jawab-supaya-golkar-tak-semakin-kecil-suaranya
20171201,051,2.03488372093023,3.4,4,1,4,http://nasional.kompas.com/read/2017/12/01/17331061/idrus-jokowi-juga-bertanggung-jawab-supaya-golkar-tak-semakin-kecil-suaranya
20171202,014,1.9672131147541,0.0,4,1,4,http://www.tribunnews.com/nasional/2017/12/02/idrus-jokowi-juga-bertanggung-jawab-supaya-golkar-tak-semakin-kecil-suaranya-di-2019
20171202,051,1.9672131147541,3.4,4,1,4,http://www.tribunnews.com/nasional/2017/12/02/idrus-jokowi-juga-bertanggung-jawab-supaya-golkar-tak-semakin-kecil-suaranya-di-2019
20171202,043,0.0,2.8,10,1,10,http://www.medanbisnisdaily.com/news/online/read/2017/12/02/15716/2_guru_terharu_saat_nyanyi_hymne_guru_di_dekat_jokowi/
20171202,042,4.05405405405405,1.9,10,1,10,https://www.cnnindonesia.com/nasional/20171202113919-20-259630/janji-jokowi-untuk-guru-tunjangan-takkan-tertunda-lagi/
20171201,130,-0.93457943925233,-4.4,6,1,6,https://lifestyle.okezone.com/read/2017/12/01/406/1823799/presiden-jokowi-batal-buka-sail-sabang-2017
20171201,020,-0.93457943925233,3.0,2,1,2,https://lifestyle.okezone.com/read/2017/12/01/406/1823799/presiden-jokowi-batal-buka-sail-sabang-2017
20171201,036,1.69491525423729,4.0,10,1,10,http://surabaya.tribunnews.com/2017/12/01/zulhas-akan-datang-ke-jatim-besok-temui-prabowo
20171201,017,-4.8780487804878,0.0,10,1,10,http://wartakota.tribunnews.com/2017/12/01/ribuan-personel-gabungan-siaga-amankan-kedatangan-jokowi-di-bekasi
20171201,036,-0.93457943925233,4.0,2,1,2,https://lifestyle.okezone.com/read/2017/12/01/406/1823799/presiden-jokowi-batal-buka-sail-sabang-2017
20171201,036,-0.93457943925233,4.0,2,1,2,https://lifestyle.okezone.com/read/2017/12/01/406/1823799/presiden-jokowi-batal-buka-sail-sabang-2017
20170904,042,-1.55038759689922,1.9,10,1,10,http://www.thepresidentpost.com/2017/08/04/visiting-pekanbaru-dumai-toll-road-jokowi-amazed-speedy-progress/
20170904,043,-1.55038759689922,2.8,5,1,5,http://www.thepresidentpost.com/2017/08/04/visiting-pekanbaru-dumai-toll-road-jokowi-amazed-speedy-progress/
20170904,020,-3.40425531914893,3.0,2,1,2,http://aceh.tribunnews.com/2017/09/04/sura-minta-presiden-jokowi-bertindak-tegas-terhadap-myanmar
20170904,111,-6.23306233062331,-2.0,3,1,3,http://sglinks.com/pages/101354132-indonesian-president-jokowi-deplores-violence-against
20170904,193,-5.36547433903577,-10.0,4,1,4,https://www.cnnindonesia.com/nasional/20170901213301-20-238956/filep-karma-dan-janji-papua-jokowi-yang-tra-terpenuhi/
20170905,020,4.87012987012987,3.0,10,1,10,https://news.okezone.com/read/2017/09/05/337/1769376/catat-presiden-jokowi-minta-relawan-sampaikan-hasil-capaian-kerja-pemerintah
20170905,020,-2.66370699223085,3.0,8,1,8,http://nasional.kompas.com/read/2017/09/05/17384481/misi-menlu-retno-upaya-jokowi-meneruskan-tradisi-indonesia
20170905,046,-1.21212121212121,7.0,4,1,4,http://www.antaranews.com/en/news/112513/jokowi-opens-meeting-of-supporters-organization
20170904,080,8.4,5.0,4,1,4,https://news.okezone.com/read/2017/09/04/337/1768700/presiden-jokowi-hadiri-pernikahan-ketua-pemuda-perindo-hary-tanoe-ucapkan-terima-kasih
20170904,040,-5.0761421319797,1.0,2,1,2,http://www.channelnewsasia.com/news/asiapacific/indonesian-president-jokowi-deplores-violence-against-rohingya-9182930
20170904,036,-4.95356037151703,4.0,2,1,2,http://malaysiandigest.com/world/695886-president-jokowi-deplores-violence-against-rohingya.html
20170905,042,3.2128514056225,1.9,10,1,10,http://economy.okezone.com/read/2017/09/05/320/1769812/rayakan-50-tahun-hubungan-ri-singapura-ini-kerjasama-ekonomi-yang-diincar-jokowi
20170903,020,-3.41880341880342,3.0,4,1,4,https://news.okezone.com/read/2017/09/04/337/1768663/dukung-langkah-presiden-jokowi-terkait-rohingya-hary-tanoe-ini-persoalan-kemanusiaan
20170904,020,-3.41880341880342,3.0,4,1,4,https://news.okezone.com/read/2017/09/04/337/1768663/dukung-langkah-presiden-jokowi-terkait-rohingya-hary-tanoe-ini-persoalan-kemanusiaan/
20170904,042,8.4,1.9,4,1,4,https://news.okezone.com/read/2017/09/04/337/1768700/presiden-jokowi-hadiri-pernikahan-ketua-pemuda-perindo-hary-tanoe-ucapkan-terima-kasih
20170904,040,-5.0761421319797,1.0,2,1,2,http://www.channelnewsasia.com/news/asiapacific/indonesian-president-jokowi-deplores-violence-against-rohingya-9182930
20170904,111,-5.0761421319797,-2.0,3,1,3,http://www.channelnewsasia.com/news/asiapacific/indonesian-president-jokowi-deplores-violence-against-rohingya-9182930
20170904,141,-5.0761421319797,-6.5,10,1,10,http://www.channelnewsasia.com/news/asiapacific/indonesian-president-jokowi-deplores-violence-against-rohingya-9182930
20170904,020,-2.46305418719212,3.0,2,1,2,http://www.jpnn.com/news/golkar-dorong-pemerintahan-jokowi-lebih-galak-kepada-myanmar
20170904,141,-1.47928994082841,-6.5,8,1,8,http://nasional.republika.co.id/berita/nasional/politik/17/09/04/ovr5j1330-cina-protes-nama-laut-natuna-utara-jokowi-takkan-gentar
20170904,046,3.13315926892951,7.0,10,1,10,http://www.thepresidentpost.com/2017/09/04/world-bank-president-meets-president-jokowi-discuss-infrastructure/
20170904,030,1.44230769230769,4.0,10,1,10,http://www.tribunnews.com/bisnis/2017/09/04/jokowi-kalau-tidak-ngotot-sama-freeport-nanti-dapat-9-persen-saham-lagi
20170905,010,-3.54477611940299,0.0,10,1,10,http://internasional.metrotvnews.com/asia/8N0eQGrb-krisis-rakhine-tak-boleh-jadi-amunisi-serang-jokowi-jk
20170905,020,-1.45348837209302,3.0,10,1,10,http://economy.okezone.com/read/2017/09/05/20/1769629/usai-temui-jokowi-sri-mulyani-evaluasi-kebijakan-perpajakan
20170905,033,1.6,5.2,4,1,4,http://www.jpnn.com/news/jokowi-kiai-said-bahas-tragedi-rohingya
20170905,111,-2.80701754385964,-2.0,10,1,10,http://news.liputan6.com/read/3083559/fadli-zon-nilai-jokowi-melempem-soal-rohingya-ini-respons-istana
20170905,020,-2.67639902676399,3.0,10,1,10,https://www.cnnindonesia.com/nasional/20170905171823-20-239621/tito-ada-yang-kemas-isu-rohingya-untuk-serang-jokowi/
