nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;April;32938;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;April;289584;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;April;35404;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;April;184259;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Mei;37016;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Mei;286969;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Mei;37981;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Mei;202755;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Juni;45350;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Juni;347772;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Juni;44522;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Juni;201122;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Juli;40757;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Juli;334206;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Juli;41238;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Juli;234265;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Agustus;36632;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Agustus;344401;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Agustus;36308;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Agustus;262053;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;September;41066;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;September;321928;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;September;41741;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;September;220070;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Oktober;44230;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Oktober;336722;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Oktober;52822;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Oktober;244039;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;November;40520;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;November;373774;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;November;47911;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;November;200779;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Desember;51164;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Desember;392488;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Desember;54584;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2009;Desember;202289;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Januari;44732;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Januari;317858;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Januari;45980;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Januari;224869;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Februari;39230;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Februari;308345;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Februari;36094;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Februari;209228;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Maret;45294;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Maret;400223;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Maret;44646;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Maret;207938;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;April;44525;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;April;364689;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;April;39799;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;April;215368;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Mei;43550;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Mei;381709;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Mei;39363;Juanda
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Mei;226615;"Ngurah Rai"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Juni;56186;Polonia
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Juni;440923;"Soekarno Hatta"
"Jumlah Penumpang Pesawat di Bandara Utama";"Keberangkatan pada Penerbangan Internasional";2010;Juni;48620;Juanda
